file,name,width_mm,height_mm,stock
1_52x52.png,1,52,52,66
2_52x52.png,2,52,52,56
3_400x396.png,3,400,396,40
5_120x120.png,5,120,120,42
7_225x30.png,6,225,30,25
7_280x82.png,7,280,82,45
8_70x31.png,8,70,31,43
9_170x89.png,9,170,89,46
10_120x52.png,10,120,52,34
11_193x228.png,11,193,228,31
12_103x48.png,12,103,48,36
13_103x48.png,13,103,48,37
14_103x48.png,14,103,48,38
16_123x120.png,16,123,120,44
17_298x151.png,17,298,151,29
18_298x151.png,18,298,151,30
19_298x151.png,19,298,151,8
20_74X74.png,20,74,74,43
21_120x139.png,21,120,139,45
22_120x160.png,22,120,160,34
23_131x57.png,23,131,57,47
24_102x62.png,24,102,62,32
25_43x22.png,25,43,22,61
26_48x25.png,26,48,25,55
27_72x68.png,27,72,68,58
28_72x38.png,28,72,38,52
29_62x56.png,29,62,56,47
30_100x74.png,30,100,74,26
31_297x62.png,31,297,62,52
32_74x74.png,32,74,74,42
33_158x45.png,33,158,45,71
34_120x35.png,34,120,35,43
